municipios;populacao;autistas
Alagoas;3127683;33143
Água Branca (AL);19008;199
Anadia (AL);13966;108
Arapiraca (AL);234696;2794
Atalaia (AL);37512;429
Barra de Santo Antônio (AL);16365;142
Barra de São Miguel (AL);7944;42
Batalha (AL);16448;137
Belém (AL);4722;37
Belo Monte (AL);5936;31
Boca da Mata (AL);21187;367
Branquinha (AL);9603;117
Cacimbinhas (AL);10482;102
Cajueiro (AL);16024;137
Campestre (AL);6665;35
Campo Alegre (AL);32106;183
Campo Grande (AL);8143;65
Canapi (AL);15559;87
Capela (AL);15032;124
Carneiros (AL);8999;67
Chã Preta (AL);5910;21
Coité do Nóia (AL);10810;114
Colônia Leopoldina (AL);15816;122
Coqueiro Seco (AL);5581;40
Coruripe (AL);50414;533
Craíbas (AL);25397;302
Delmiro Gouveia (AL);51318;723
Dois Riachos (AL);9805;31
Estrela de Alagoas (AL);15429;80
Feira Grande (AL);22712;187
Feliz Deserto (AL);3963;32
Flexeiras (AL);9618;83
Girau do Ponciano (AL);36102;235
Ibateguara (AL);13731;151
Igaci (AL);23995;160
Igreja Nova (AL);21372;203
Inhapi (AL);15167;152
Jacaré dos Homens (AL);5083;20
Jacuípe (AL);5352;45
Japaratinga (AL);9219;47
Jaramataia (AL);4985;21
Jequiá da Praia (AL);9470;66
Joaquim Gomes (AL);17150;115
Jundiá (AL);4092;17
Junqueiro (AL);23907;349
Lagoa da Canoa (AL);18457;107
Limoeiro de Anadia (AL);24740;157
Maceió (AL);957916;12691
Major Isidoro (AL);17700;91
Maragogi (AL);32174;404
Maravilha (AL);9534;60
Marechal Deodoro (AL);60370;495
Maribondo (AL);13679;111
Mar Vermelho (AL);3155;20
Mata Grande (AL);21844;179
Matriz de Camaragibe (AL);23857;213
Messias (AL);15405;201
Minador do Negrão (AL);4845;33
Monteirópolis (AL);7184;64
Murici (AL);25187;496
Novo Lino (AL);10020;62
Olho d'Água das Flores (AL);20695;154
Olho d'Água do Casado (AL);8349;34
Olho d'Água Grande (AL);4330;36
Olivença (AL);10812;67
Ouro Branco (AL);11446;76
Palestina (AL);4325;37
Palmeira dos Índios (AL);71574;554
Pão de Açúcar (AL);23823;156
Pariconha (AL);10573;96
Paripueira (AL);13835;148
Passo de Camaragibe (AL);13804;89
Paulo Jacinto (AL);6576;76
Penedo (AL);58650;617
Piaçabuçu (AL);15908;95
Pilar (AL);35370;363
Pindoba (AL);2731;28
Piranhas (AL);22609;248
Poço das Trincheiras (AL);12518;84
Porto Calvo (AL);24071;105
Porto de Pedras (AL);9295;53
Porto Real do Colégio (AL);20082;173
Quebrangulo (AL);11080;75
Rio Largo (AL);93927;995
Roteiro (AL);6474;59
Santa Luzia do Norte (AL);6919;53
Santana do Ipanema (AL);46220;432
Santana do Mundaú (AL);11323;155
São Brás (AL);6555;49
São José da Laje (AL);20813;154
São José da Tapera (AL);30604;148
São Luís do Quitunde (AL);30873;276
São Miguel dos Campos (AL);51990;609
São Miguel dos Milagres (AL);8482;83
São Sebastião (AL);31786;239
Satuba (AL);24278;262
Senador Rui Palmeira (AL);12303;72
Tanque d'Arca (AL);5796;37
Taquarana (AL);19032;129
Teotônio Vilela (AL);38053;389
Traipu (AL);23565;219
União dos Palmares (AL);59280;734
Viçosa (AL);24092;255
