municipio;populacao;autistas
Amazonas;3941613;43983
Alvarães (AM);15866;90
Amaturá (AM);10819;65
Anamã (AM);9962;154
Anori (AM);17194;85
Apuí (AM);20647;260
Atalaia do Norte (AM);15314;124
Autazes (AM);41564;434
Barcelos (AM);18834;185
Barreirinha (AM);31051;197
Benjamin Constant (AM);37648;195
Beruri (AM);20718;264
Boa Vista do Ramos (AM);23785;293
Boca do Acre (AM);35447;314
Borba (AM);33080;248
Caapiranga (AM);13469;110
Canutama (AM);16869;272
Carauari (AM);28742;244
Careiro (AM);30792;215
Careiro da Várzea (AM);19637;222
Coari (AM);70616;468
Codajás (AM);23549;304
Eirunepé (AM);33170;159
Envira (AM);17186;133
Fonte Boa (AM);25871;195
Guajará (AM);13815;148
Humaitá (AM);57473;492
Ipixuna (AM);24311;161
Iranduba (AM);61163;763
Itacoatiara (AM);103598;1002
Itamarati (AM);10937;25
Itapiranga (AM);10162;43
Japurá (AM);8858;51
Juruá (AM);10742;133
Jutaí (AM);25172;195
Lábrea (AM);45448;368
Manacapuru (AM);101883;973
Manaquiri (AM);17107;131
Manaus (AM);2063689;27636
Manicoré (AM);53914;357
Maraã (AM);15529;101
Maués (AM);61204;642
Nhamundá (AM);20136;194
Nova Olinda do Norte (AM);27062;213
Novo Airão (AM);15761;248
Novo Aripuanã (AM);23818;104
Parintins (AM);96372;852
Pauini (AM);19373;180
Presidente Figueiredo (AM);30668;432
Rio Preto da Eva (AM);24936;229
Santa Isabel do Rio Negro (AM);14164;60
Santo Antônio do Içá (AM);28211;131
São Gabriel da Cachoeira (AM);51795;586
São Paulo de Olivença (AM);32967;123
São Sebastião do Uatumã (AM);11670;62
Silves (AM);11559;155
Tabatinga (AM);66764;419
Tapauá (AM);19599;124
Tefé (AM);73669;762
Tonantins (AM);19247;141
Uarini (AM);14431;80
Urucará (AM);18631;270
Urucurituba (AM);23945;168
