municipio;RP
Cezarina (GO);2,515135346
Tocos do Moji (MG);2,471530058
Santiago do Sul (SC);2,45463546
Lizarda (TO);2,449264154
Aceguá (RS);2,389124555
Santo Antônio do Itambé (MG);2,264385537
Braúnas (MG);2,224323387
Westfália (RS);2,20747831
Itabirinha (MG);2,191803074
Coxilha (RS);2,184333341
Mirante (BA);2,171439955
Barreira (CE);2,141648976
Mongaguá (SP);2,128754348
São José do Xingu (MT);2,123471634
Sem-Peixe (MG);2,116803601
Murici dos Portelas (PI);2,111377144
Consolação (MG);2,106679497
Vila Nova do Sul (RS);2,054451935
Timbó Grande (SC);2,035409165
Engenheiro Caldas (MG);2,026747828
Santa Maria do Salto (MG);2,024170866
Capela do Alto (SP);2,008637378
Ibiaí (MG);2,001265605
Governador Newton Bello (MA);1,993894869
Riolândia (SP);1,981945308
Cachoeira do Arari (PA);1,971576248
Guaratuba (PR);1,965104329
Canavieira (PI);1,953693421
Sardoá (MG);1,95192974
Fundão (ES);1,935676301
Salvador do Sul (RS);1,926935521
Santa Margarida do Sul (RS);1,918846185
Capim Grosso (BA);1,849390131
Aragoiânia (GO);1,846223748
Santo Amaro da Imperatriz (SC);1,835821893
Morro Cabeça no Tempo (PI);1,832482763
Bocaina do Sul (SC);1,825496912
Itapiúna (CE);1,807744335
Dois Córregos (SP);1,801570315
Acarape (CE);1,79969633
Buri (SP);1,796987608
São Geraldo do Araguaia (PA);1,789182656
Ibitinga (SP);1,787509438
Caraúbas (RN);1,784710793
São Gonçalo do Gurguéia (PI);1,776251237
Aurilândia (GO);1,773939409
Pindoretama (CE);1,768642801
Águia Branca (ES);1,764919589
José da Penha (RN);1,760457882
Itajubá (MG);1,745316501
Galiléia (MG);1,736891951
Berilo (MG);1,735671168
Amapá (AP);1,732590311
Forquilhinha (SC);1,716467161
Corguinho (MS);1,712238244
Pedreiras (MA);1,704536185
Pimenta Bueno (RO);1,699222837
São Benedito do Rio Preto (MA);1,691894872
Rio Branco (AC);1,691565947
São Gonçalo do Sapucaí (MG);1,691474245
Pitangui (MG);1,686369899
Altinho (PE);1,682540565
Uiramutã (RR);1,682321985
Tramandaí (RS);1,675016851
Ilha Comprida (SP);1,673610236
Mãe d'Água (PB);1,67303251
Leme (SP);1,671193224
Murici (AL);1,662639423
São Martinho da Serra (RS);1,653159791
Jijoca de Jericoacoara (CE);1,651912193
Itajaí (SC);1,6434754
Severiano de Almeida (RS);1,636033271
Porto Acre (AC);1,628599578
Lago Verde (MA);1,623529144
Capitão Enéas (MG);1,621797697
Mamanguape (PB);1,618578746
Senador Guiomard (AC);1,617433319
Grossos (RN);1,616440358
Jacareacanga (PA);1,6154
Landri Sales (PI);1,603394204
Paraisópolis (MG);1,602276453
Guamaré (RN);1,600815778
Agudos do Sul (PR);1,60063237
Soledade (PB);1,595741501
Graccho Cardoso (SE);1,591912159
Reserva do Cabaçal (MT);1,591502963
Plácido de Castro (AC);1,590695678
Concórdia do Pará (PA);1,589270915
Itacambira (MG);1,588508601
Morpará (BA);1,583840023
São Sepé (RS);1,583620076
Pedro de Toledo (SP);1,579165676
Águas Mornas (SC);1,577648414
Parapuã (SP);1,572075495
Jundiaí do Sul (PR);1,570540772
Quipapá (PE);1,56821365
Peruíbe (SP);1,566249216
Presidente Lucena (RS);1,564012425
Baixa Grande (BA);1,556982547
Ribeirão Pires (SP);1,553289208
Sítio Novo do Tocantins (TO);1,551377396
Itaitinga (CE);1,550154657
Monte Castelo (SC);1,549760983
Aquiraz (CE);1,549448368
Praia Grande (SP);1,547995924
Wenceslau Guimarães (BA);1,545488927
São Bento (PB);1,542696378
Pacatuba (CE);1,535848968
Imbituba (SC);1,535106144
Porto Velho (RO);1,534613525
Guapó (GO);1,533506135
Reserva (PR);1,532390736
Francisco Dantas (RN);1,532234213
Rio Negrinho (SC);1,531127921
Pirenópolis (GO);1,527887566
Turmalina (SP);1,517601537
Fortaleza (CE);1,51618925
Cascavel (CE);1,512806511
Venha-Ver (RN);1,512667066
Palmeira das Missões (RS);1,512385391
Colônia do Piauí (PI);1,508958253
Trabiju (SP);1,505872155
Juarina (TO);1,505648367
Araioses (MA);1,504730759
Utinga (BA);1,504237717
Itatira (CE);1,496444479
Adolfo (SP);1,494150971
Guamiranga (PR);1,493847158
Frutal (MG);1,49294539
Leopoldina (MG);1,492306694
Campo Alegre de Lourdes (BA);1,491984084
Sananduva (RS);1,487898536
Jaguaruana (CE);1,486120676
Vermelho Novo (MG);1,482121651
Juquitiba (SP);1,478836354
Pedro Osório (RS);1,477850002
Bayeux (PB);1,476506477
Nacip Raydan (MG);1,476395682
Alto Caparaó (MG);1,471501717
Colinas (RS);1,463486484
Osasco (SP);1,46282279
Boca da Mata (AL);1,462478322
Arame (MA);1,455847559
Cavalcante (GO);1,453701691
Bujari (AC);1,451055937
Extrema (MG);1,450777165
Bela Vista (MS);1,449277987
Cujubim (RO);1,448526825
Euclides da Cunha (BA);1,446628181
Itaparica (BA);1,446334312
Macapá (AP);1,445997826
Tocantins (MG);1,444973575
Santa Amélia (PR);1,442809507
Gaspar (SC);1,440311278
Irajuba (BA);1,439213267
Barra Velha (SC);1,438510799
Várzea do Poço (BA);1,438246394
Morrinhos (CE);1,436035373
Beberibe (CE);1,435395501
Buritis (RO);1,432690957
Vila Velha (ES);1,432539813
Epitaciolândia (AC);1,431385394
Oriximiná (PA);1,430354374
Faria Lemos (MG);1,430106191
Serra (ES);1,428145517
Moreira Sales (PR);1,427930638
Alto Garças (MT);1,423109951
Ouricuri (PE);1,422143094
Alhandra (PB);1,422047813
Cataguases (MG);1,421998205
Pacaraima (RR);1,421367545
Santa Rita de Minas (MG);1,421073744
Campanha (MG);1,419958219
Jaquirana (RS);1,418594145
Ubá (MG);1,417976559
Silveirânia (MG);1,417451595
São Bento Abade (MG);1,415215222
Arvoredo (SC);1,41276006
Redenção (CE);1,41160067
Teresina (PI);1,408583277
Macaé (RJ);1,408347481
Visconde do Rio Branco (MG);1,407872538
Bandeirantes (PR);1,406568924
Simão Pereira (MG);1,403811461
Canhoba (SE);1,403070859
Ladainha (MG);1,402946985
Tianguá (CE);1,402561533
Pinheiral (RJ);1,400320214
Timóteo (MG);1,40027153
Jaboatão dos Guararapes (PE);1,400081361
Guaporé (RS);1,400025656
Rubiataba (GO);1,39947383
Dois Irmãos (RS);1,399409918
Santa Brígida (BA);1,399161348
Avelino Lopes (PI);1,398606828
Trizidela do Vale (MA);1,396889982
Goiatuba (GO);1,396737522
Itaporanga (PB);1,396573765
Manoel Urbano (AC);1,393546846
Macaparana (PE);1,393069956
Hugo Napoleão (PI);1,391954368
Mathias Lobato (MG);1,389552866
Itaporã (MS);1,388673206
Umari (CE);1,388517426
Nova Marilândia (MT);1,387615604
Pinheiros (ES);1,387442536
Monte Belo do Sul (RS);1,386792237
São Nicolau (RS);1,385708382
Divisa Nova (MG);1,38526855
Ararendá (CE);1,384834197
Joaçaba (SC);1,38353482
Colinas do Sul (GO);1,382711991
Rio Pardo (RS);1,381409783
Antonina (PR);1,381408033
Derrubadas (RS);1,381067047
São José do Povo (MT);1,380234404
São Gonçalo do Amarante (CE);1,380046737
Laguna (SC);1,379362704
Serra Grande (PB);1,377499369
Penápolis (SP);1,377062007
Aquidabã (SE);1,375629037
Piracaia (SP);1,375311938
Lapão (BA);1,374566688
Madalena (CE);1,374173701
Santana do Paraíso (MG);1,373859604
São Pedro do Suaçuí (MG);1,37323658
Santa Helena de Goiás (GO);1,373082701
Paranaguá (PR);1,372136408
Baturité (CE);1,371273803
Camocim (CE);1,370894698
Santa Rita (PB);1,369701105
Poço Verde (SE);1,367510276
Imbé (RS);1,366026199
Ilha Grande (PI);1,365579558
Maracanaú (CE);1,365576919
Quixadá (CE);1,365224135
Cuiabá (MT);1,363835175
Congonhas do Norte (MG);1,363171209
Balneário Rincão (SC);1,363039979
Itapuã do Oeste (RO);1,36303627
Cocal dos Alves (PI);1,361761809
Salgado (SE);1,361426052
Canutama (AM);1,361358181
Marilac (MG);1,359182715
Santa Efigênia de Minas (MG);1,35872743
Viana (ES);1,356884
Vera Cruz do Oeste (PR);1,356623085
São Miguel (RN);1,355918331
Alvorada (RS);1,355807759
São Gabriel da Palha (ES);1,353401743
Gravataí (RS);1,352401668
Palmas (PR);1,350951712
Nova Iguaçu (RJ);1,350881466
Luís Gomes (RN);1,34975068
Dom Expedito Lopes (PI);1,349264628
Raul Soares (MG);1,348099425
Bertópolis (MG);1,346770497
Piracuruca (PI);1,346372003
Toledo (MG);1,34590542
Aliança do Tocantins (TO);1,345093654
Forquilha (CE);1,344692607
São Bernardo do Campo (SP);1,344446032
Jaguariúna (SP);1,344391871
Içara (SC);1,344346205
São Lourenço (MG);1,343766296
Balneário Pinhal (RS);1,343641408
Brusque (SC);1,343009111
Pojuca (BA);1,342523576
Xapuri (AC);1,342129986
Igarapé-Miri (PA);1,341366154
Caucaia (CE);1,339980757
