municipio,RP,municipio_norm
Cezarina (GO),2.515135346,cezarina (go)
Tocos do Moji (MG),2.471530058,tocos do moji (mg)
Santiago do Sul (SC),2.45463546,santiago do sul (sc)
Lizarda (TO),2.449264154,lizarda (to)
Aceguá (RS),2.389124555,acegua (rs)
Santo Antônio do Itambé (MG),2.264385537,santo antonio do itambe (mg)
Braúnas (MG),2.224323387,braunas (mg)
Westfália (RS),2.20747831,westfalia (rs)
Itabirinha (MG),2.191803074,itabirinha (mg)
Coxilha (RS),2.184333341,coxilha (rs)
Mirante (BA),2.171439955,mirante (ba)
Barreira (CE),2.141648976,barreira (ce)
Mongaguá (SP),2.128754348,mongagua (sp)
São José do Xingu (MT),2.123471634,sao jose do xingu (mt)
Sem-Peixe (MG),2.116803601,sem-peixe (mg)
Murici dos Portelas (PI),2.111377144,murici dos portelas (pi)
Consolação (MG),2.106679497,consolacao (mg)
Vila Nova do Sul (RS),2.054451935,vila nova do sul (rs)
Timbó Grande (SC),2.035409165,timbo grande (sc)
Engenheiro Caldas (MG),2.026747828,engenheiro caldas (mg)
Santa Maria do Salto (MG),2.024170866,santa maria do salto (mg)
Capela do Alto (SP),2.008637378,capela do alto (sp)
Ibiaí (MG),2.001265605,ibiai (mg)
Governador Newton Bello (MA),1.993894869,governador newton bello (ma)
Riolândia (SP),1.981945308,riolandia (sp)
Cachoeira do Arari (PA),1.971576248,cachoeira do arari (pa)
Guaratuba (PR),1.965104329,guaratuba (pr)
Canavieira (PI),1.953693421,canavieira (pi)
Sardoá (MG),1.95192974,sardoa (mg)
Fundão (ES),1.935676301,fundao (es)
Salvador do Sul (RS),1.926935521,salvador do sul (rs)
Santa Margarida do Sul (RS),1.918846185,santa margarida do sul (rs)
Capim Grosso (BA),1.849390131,capim grosso (ba)
Aragoiânia (GO),1.846223748,aragoiania (go)
Santo Amaro da Imperatriz (SC),1.835821893,santo amaro da imperatriz (sc)
Morro Cabeça no Tempo (PI),1.832482763,morro cabeca no tempo (pi)
Bocaina do Sul (SC),1.825496912,bocaina do sul (sc)
Itapiúna (CE),1.807744335,itapiuna (ce)
Dois Córregos (SP),1.801570315,dois corregos (sp)
Acarape (CE),1.79969633,acarape (ce)
Buri (SP),1.796987608,buri (sp)
São Geraldo do Araguaia (PA),1.789182656,sao geraldo do araguaia (pa)
Ibitinga (SP),1.787509438,ibitinga (sp)
Caraúbas (RN),1.784710793,caraubas (rn)
São Gonçalo do Gurguéia (PI),1.776251237,sao goncalo do gurgueia (pi)
Aurilândia (GO),1.773939409,aurilandia (go)
Pindoretama (CE),1.768642801,pindoretama (ce)
Águia Branca (ES),1.764919589,aguia branca (es)
José da Penha (RN),1.760457882,jose da penha (rn)
Itajubá (MG),1.745316501,itajuba (mg)
Galiléia (MG),1.736891951,galileia (mg)
Berilo (MG),1.735671168,berilo (mg)
Amapá (AP),1.732590311,amapa (ap)
Forquilhinha (SC),1.716467161,forquilhinha (sc)
Corguinho (MS),1.712238244,corguinho (ms)
Pedreiras (MA),1.704536185,pedreiras (ma)
Pimenta Bueno (RO),1.699222837,pimenta bueno (ro)
São Benedito do Rio Preto (MA),1.691894872,sao benedito do rio preto (ma)
Rio Branco (AC),1.691565947,rio branco (ac)
São Gonçalo do Sapucaí (MG),1.691474245,sao goncalo do sapucai (mg)
Pitangui (MG),1.686369899,pitangui (mg)
Altinho (PE),1.682540565,altinho (pe)
Uiramutã (RR),1.682321985,uiramuta (rr)
Tramandaí (RS),1.675016851,tramandai (rs)
Ilha Comprida (SP),1.673610236,ilha comprida (sp)
Mãe d'Água (PB),1.67303251,mae d'agua (pb)
Leme (SP),1.671193224,leme (sp)
Murici (AL),1.662639423,murici (al)
São Martinho da Serra (RS),1.653159791,sao martinho da serra (rs)
Jijoca de Jericoacoara (CE),1.651912193,jijoca de jericoacoara (ce)
Itajaí (SC),1.6434754,itajai (sc)
Severiano de Almeida (RS),1.636033271,severiano de almeida (rs)
Porto Acre (AC),1.628599578,porto acre (ac)
Lago Verde (MA),1.623529144,lago verde (ma)
Capitão Enéas (MG),1.621797697,capitao eneas (mg)
Mamanguape (PB),1.618578746,mamanguape (pb)
Senador Guiomard (AC),1.617433319,senador guiomard (ac)
Grossos (RN),1.616440358,grossos (rn)
Jacareacanga (PA),1.6154,jacareacanga (pa)
Landri Sales (PI),1.603394204,landri sales (pi)
Paraisópolis (MG),1.602276453,paraisopolis (mg)
Guamaré (RN),1.600815778,guamare (rn)
Agudos do Sul (PR),1.60063237,agudos do sul (pr)
Soledade (PB),1.595741501,soledade (pb)
Graccho Cardoso (SE),1.591912159,graccho cardoso (se)
Reserva do Cabaçal (MT),1.591502963,reserva do cabacal (mt)
Plácido de Castro (AC),1.590695678,placido de castro (ac)
Concórdia do Pará (PA),1.589270915,concordia do para (pa)
Itacambira (MG),1.588508601,itacambira (mg)
Morpará (BA),1.583840023,morpara (ba)
São Sepé (RS),1.583620076,sao sepe (rs)
Pedro de Toledo (SP),1.579165676,pedro de toledo (sp)
Águas Mornas (SC),1.577648414,aguas mornas (sc)
Parapuã (SP),1.572075495,parapua (sp)
Jundiaí do Sul (PR),1.570540772,jundiai do sul (pr)
Quipapá (PE),1.56821365,quipapa (pe)
Peruíbe (SP),1.566249216,peruibe (sp)
Presidente Lucena (RS),1.564012425,presidente lucena (rs)
Baixa Grande (BA),1.556982547,baixa grande (ba)
Ribeirão Pires (SP),1.553289208,ribeirao pires (sp)
Sítio Novo do Tocantins (TO),1.551377396,sitio novo do tocantins (to)
Itaitinga (CE),1.550154657,itaitinga (ce)
Monte Castelo (SC),1.549760983,monte castelo (sc)
Aquiraz (CE),1.549448368,aquiraz (ce)
Praia Grande (SP),1.547995924,praia grande (sp)
Wenceslau Guimarães (BA),1.545488927,wenceslau guimaraes (ba)
São Bento (PB),1.542696378,sao bento (pb)
Pacatuba (CE),1.535848968,pacatuba (ce)
Imbituba (SC),1.535106144,imbituba (sc)
Porto Velho (RO),1.534613525,porto velho (ro)
Guapó (GO),1.533506135,guapo (go)
Reserva (PR),1.532390736,reserva (pr)
Francisco Dantas (RN),1.532234213,francisco dantas (rn)
Rio Negrinho (SC),1.531127921,rio negrinho (sc)
Pirenópolis (GO),1.527887566,pirenopolis (go)
Turmalina (SP),1.517601537,turmalina (sp)
Fortaleza (CE),1.51618925,fortaleza (ce)
Cascavel (CE),1.512806511,cascavel (ce)
Venha-Ver (RN),1.512667066,venha-ver (rn)
Palmeira das Missões (RS),1.512385391,palmeira das missoes (rs)
Colônia do Piauí (PI),1.508958253,colonia do piaui (pi)
Trabiju (SP),1.505872155,trabiju (sp)
Juarina (TO),1.505648367,juarina (to)
Araioses (MA),1.504730759,araioses (ma)
Utinga (BA),1.504237717,utinga (ba)
Itatira (CE),1.496444479,itatira (ce)
Adolfo (SP),1.494150971,adolfo (sp)
Guamiranga (PR),1.493847158,guamiranga (pr)
Frutal (MG),1.49294539,frutal (mg)
Leopoldina (MG),1.492306694,leopoldina (mg)
Campo Alegre de Lourdes (BA),1.491984084,campo alegre de lourdes (ba)
Sananduva (RS),1.487898536,sananduva (rs)
Jaguaruana (CE),1.486120676,jaguaruana (ce)
Vermelho Novo (MG),1.482121651,vermelho novo (mg)
Juquitiba (SP),1.478836354,juquitiba (sp)
Pedro Osório (RS),1.477850002,pedro osorio (rs)
Bayeux (PB),1.476506477,bayeux (pb)
Nacip Raydan (MG),1.476395682,nacip raydan (mg)
Alto Caparaó (MG),1.471501717,alto caparao (mg)
Colinas (RS),1.463486484,colinas (rs)
Osasco (SP),1.46282279,osasco (sp)
Boca da Mata (AL),1.462478322,boca da mata (al)
Arame (MA),1.455847559,arame (ma)
Cavalcante (GO),1.453701691,cavalcante (go)
Bujari (AC),1.451055937,bujari (ac)
Extrema (MG),1.450777165,extrema (mg)
Bela Vista (MS),1.449277987,bela vista (ms)
Cujubim (RO),1.448526825,cujubim (ro)
Euclides da Cunha (BA),1.446628181,euclides da cunha (ba)
Itaparica (BA),1.446334312,itaparica (ba)
Macapá (AP),1.445997826,macapa (ap)
Tocantins (MG),1.444973575,tocantins (mg)
Santa Amélia (PR),1.442809507,santa amelia (pr)
Gaspar (SC),1.440311278,gaspar (sc)
Irajuba (BA),1.439213267,irajuba (ba)
Barra Velha (SC),1.438510799,barra velha (sc)
Várzea do Poço (BA),1.438246394,varzea do poco (ba)
Morrinhos (CE),1.436035373,morrinhos (ce)
Beberibe (CE),1.435395501,beberibe (ce)
Buritis (RO),1.432690957,buritis (ro)
Vila Velha (ES),1.432539813,vila velha (es)
Epitaciolândia (AC),1.431385394,epitaciolandia (ac)
Oriximiná (PA),1.430354374,oriximina (pa)
Faria Lemos (MG),1.430106191,faria lemos (mg)
Serra (ES),1.428145517,serra (es)
Moreira Sales (PR),1.427930638,moreira sales (pr)
Alto Garças (MT),1.423109951,alto garcas (mt)
Ouricuri (PE),1.422143094,ouricuri (pe)
Alhandra (PB),1.422047813,alhandra (pb)
Cataguases (MG),1.421998205,cataguases (mg)
Pacaraima (RR),1.421367545,pacaraima (rr)
Santa Rita de Minas (MG),1.421073744,santa rita de minas (mg)
Campanha (MG),1.419958219,campanha (mg)
Jaquirana (RS),1.418594145,jaquirana (rs)
Ubá (MG),1.417976559,uba (mg)
Silveirânia (MG),1.417451595,silveirania (mg)
São Bento Abade (MG),1.415215222,sao bento abade (mg)
Arvoredo (SC),1.41276006,arvoredo (sc)
Redenção (CE),1.41160067,redencao (ce)
Teresina (PI),1.408583277,teresina (pi)
Macaé (RJ),1.408347481,macae (rj)
Visconde do Rio Branco (MG),1.407872538,visconde do rio branco (mg)
Bandeirantes (PR),1.406568924,bandeirantes (pr)
Simão Pereira (MG),1.403811461,simao pereira (mg)
Canhoba (SE),1.403070859,canhoba (se)
Ladainha (MG),1.402946985,ladainha (mg)
Tianguá (CE),1.402561533,tiangua (ce)
Pinheiral (RJ),1.400320214,pinheiral (rj)
Timóteo (MG),1.40027153,timoteo (mg)
Jaboatão dos Guararapes (PE),1.400081361,jaboatao dos guararapes (pe)
Guaporé (RS),1.400025656,guapore (rs)
Rubiataba (GO),1.39947383,rubiataba (go)
Dois Irmãos (RS),1.399409918,dois irmaos (rs)
Santa Brígida (BA),1.399161348,santa brigida (ba)
Avelino Lopes (PI),1.398606828,avelino lopes (pi)
Trizidela do Vale (MA),1.396889982,trizidela do vale (ma)
Goiatuba (GO),1.396737522,goiatuba (go)
Itaporanga (PB),1.396573765,itaporanga (pb)
Manoel Urbano (AC),1.393546846,manoel urbano (ac)
Macaparana (PE),1.393069956,macaparana (pe)
Hugo Napoleão (PI),1.391954368,hugo napoleao (pi)
Mathias Lobato (MG),1.389552866,mathias lobato (mg)
Itaporã (MS),1.388673206,itapora (ms)
Umari (CE),1.388517426,umari (ce)
Nova Marilândia (MT),1.387615604,nova marilandia (mt)
Pinheiros (ES),1.387442536,pinheiros (es)
Monte Belo do Sul (RS),1.386792237,monte belo do sul (rs)
São Nicolau (RS),1.385708382,sao nicolau (rs)
Divisa Nova (MG),1.38526855,divisa nova (mg)
Ararendá (CE),1.384834197,ararenda (ce)
Joaçaba (SC),1.38353482,joacaba (sc)
Colinas do Sul (GO),1.382711991,colinas do sul (go)
Rio Pardo (RS),1.381409783,rio pardo (rs)
Antonina (PR),1.381408033,antonina (pr)
Derrubadas (RS),1.381067047,derrubadas (rs)
São José do Povo (MT),1.380234404,sao jose do povo (mt)
São Gonçalo do Amarante (CE),1.380046737,sao goncalo do amarante (ce)
Laguna (SC),1.379362704,laguna (sc)
Serra Grande (PB),1.377499369,serra grande (pb)
Penápolis (SP),1.377062007,penapolis (sp)
Aquidabã (SE),1.375629037,aquidaba (se)
Piracaia (SP),1.375311938,piracaia (sp)
Lapão (BA),1.374566688,lapao (ba)
Madalena (CE),1.374173701,madalena (ce)
Santana do Paraíso (MG),1.373859604,santana do paraiso (mg)
São Pedro do Suaçuí (MG),1.37323658,sao pedro do suacui (mg)
Santa Helena de Goiás (GO),1.373082701,santa helena de goias (go)
Paranaguá (PR),1.372136408,paranagua (pr)
Baturité (CE),1.371273803,baturite (ce)
Camocim (CE),1.370894698,camocim (ce)
Santa Rita (PB),1.369701105,santa rita (pb)
Poço Verde (SE),1.367510276,poco verde (se)
Imbé (RS),1.366026199,imbe (rs)
Ilha Grande (PI),1.365579558,ilha grande (pi)
Maracanaú (CE),1.365576919,maracanau (ce)
Quixadá (CE),1.365224135,quixada (ce)
Cuiabá (MT),1.363835175,cuiaba (mt)
Congonhas do Norte (MG),1.363171209,congonhas do norte (mg)
Balneário Rincão (SC),1.363039979,balneario rincao (sc)
Itapuã do Oeste (RO),1.36303627,itapua do oeste (ro)
Cocal dos Alves (PI),1.361761809,cocal dos alves (pi)
Salgado (SE),1.361426052,salgado (se)
Canutama (AM),1.361358181,canutama (am)
Marilac (MG),1.359182715,marilac (mg)
Santa Efigênia de Minas (MG),1.35872743,santa efigenia de minas (mg)
Viana (ES),1.356884,viana (es)
Vera Cruz do Oeste (PR),1.356623085,vera cruz do oeste (pr)
São Miguel (RN),1.355918331,sao miguel (rn)
Alvorada (RS),1.355807759,alvorada (rs)
São Gabriel da Palha (ES),1.353401743,sao gabriel da palha (es)
Gravataí (RS),1.352401668,gravatai (rs)
Palmas (PR),1.350951712,palmas (pr)
Nova Iguaçu (RJ),1.350881466,nova iguacu (rj)
Luís Gomes (RN),1.34975068,luis gomes (rn)
Dom Expedito Lopes (PI),1.349264628,dom expedito lopes (pi)
Raul Soares (MG),1.348099425,raul soares (mg)
Bertópolis (MG),1.346770497,bertopolis (mg)
Piracuruca (PI),1.346372003,piracuruca (pi)
Toledo (MG),1.34590542,toledo (mg)
Aliança do Tocantins (TO),1.345093654,alianca do tocantins (to)
Forquilha (CE),1.344692607,forquilha (ce)
São Bernardo do Campo (SP),1.344446032,sao bernardo do campo (sp)
Jaguariúna (SP),1.344391871,jaguariuna (sp)
Içara (SC),1.344346205,icara (sc)
São Lourenço (MG),1.343766296,sao lourenco (mg)
Balneário Pinhal (RS),1.343641408,balneario pinhal (rs)
Brusque (SC),1.343009111,brusque (sc)
Pojuca (BA),1.342523576,pojuca (ba)
Xapuri (AC),1.342129986,xapuri (ac)
Igarapé-Miri (PA),1.341366154,igarape-miri (pa)
Caucaia (CE),1.339980757,caucaia (ce)
Monsenhor Tabosa (CE),1.339130628,monsenhor tabosa (ce)
Orós (CE),1.338852373,oros (ce)
Armação dos Búzios (RJ),1.338002629,armacao dos buzios (rj)
Carutapera (MA),1.33760315,carutapera (ma)
Campina Grande (PB),1.337366414,campina grande (pb)
Cândido Mota (SP),1.336005372,candido mota (sp)
Piên (PR),1.335533808,pien (pr)
Redentora (RS),1.335192211,redentora (rs)
Colíder (MT),1.334934624,colider (mt)
Tacaimbó (PE),1.33361067,tacaimbo (pe)
São José (SC),1.333443306,sao jose (sc)
Oliveira dos Brejinhos (BA),1.332771369,oliveira dos brejinhos (ba)
Itambé (BA),1.332510223,itambe (ba)
Piraquê (TO),1.331924784,piraque (to)
Guabiruba (SC),1.33130069,guabiruba (sc)
Simão Dias (SE),1.330546639,simao dias (se)
Nova Cruz (RN),1.330408981,nova cruz (rn)
Baía Formosa (RN),1.329820201,baia formosa (rn)
Salto (SP),1.329430877,salto (sp)
Novo Airão (AM),1.32849753,novo airao (am)
Iperó (SP),1.326913794,ipero (sp)
