municipio;populacao;autistas
Paraná;11444380;132604
Abatiá (PR);7241;44
Adrianópolis (PR);6256;80
Agudos do Sul (PR);10233;194
Almirante Tamandaré (PR);119825;1590
Altamira do Paraná (PR);3590;34
Altônia (PR);18742;153
Alto Paraná (PR);13909;150
Alto Piquiri (PR);9727;139
Alvorada do Sul (PR);10326;47
Amaporã (PR);4762;36
Ampére (PR);19620;225
Anahy (PR);2918;7
Andirá (PR);19878;227
Ângulo (PR);3235;10
Antonina (PR);18091;296
Antônio Olinto (PR);7018;47
Apucarana (PR);130134;1315
Arapongas (PR);119138;1203
Arapoti (PR);25777;221
Arapuã (PR);3527;14
Araruna (PR);14485;58
Araucária (PR);151666;2172
Ariranha do Ivaí (PR);2329;25
Assaí (PR);13797;193
Assis Chateaubriand (PR);36808;460
Astorga (PR);25475;372
Atalaia (PR);3980;15
Balsa Nova (PR);13395;171
Bandeirantes (PR);31273;521
Barbosa Ferraz (PR);10795;157
Barracão (PR);9759;54
Barra do Jacaré (PR);2814;39
Bela Vista da Caroba (PR);4031;9
Bela Vista do Paraíso (PR);14833;168
Bituruna (PR);15533;153
Boa Esperança (PR);4558;20
Boa Esperança do Iguaçu (PR);2455;12
Boa Ventura de São Roque (PR);6378;61
Boa Vista da Aparecida (PR);7924;86
Bocaiúva do Sul (PR);13299;141
Bom Jesus do Sul (PR);3980;49
Bom Sucesso (PR);6581;54
Bom Sucesso do Sul (PR);3202;35
Borrazópolis (PR);7735;87
Braganey (PR);4854;19
Brasilândia do Sul (PR);3708;28
Cafeara (PR);2627;18
Cafelândia (PR);18997;230
Cafezal do Sul (PR);4473;68
Califórnia (PR);8710;60
Cambará (PR);23212;200
Cambé (PR);107208;1107
Cambira (PR);9460;75
Campina da Lagoa (PR);15723;231
Campina do Simão (PR);3936;46
Campina Grande do Sul (PR);47825;634
Campo Bonito (PR);4027;37
Campo do Tenente (PR);7508;100
Campo Largo (PR);136327;2043
Campo Magro (PR);30160;279
Campo Mourão (PR);99432;1209
Cândido de Abreu (PR);15244;62
Candói (PR);14973;129
Cantagalo (PR);10933;87
Capanema (PR);20481;182
Capitão Leônidas Marques (PR);14648;124
Carambeí (PR);23283;290
Carlópolis (PR);16905;108
Cascavel (PR);348051;4655
Castro (PR);73075;808
Catanduvas (PR);10446;63
Centenário do Sul (PR);10832;117
Cerro Azul (PR);16134;136
Céu Azul (PR);11087;102
Chopinzinho (PR);21085;275
Cianorte (PR);79527;490
Cidade Gaúcha (PR);11467;119
Clevelândia (PR);15070;93
Colombo (PR);232212;3438
Colorado (PR);22896;173
Congonhinhas (PR);8320;84
Conselheiro Mairinck (PR);3461;35
Contenda (PR);19128;133
Corbélia (PR);17470;206
Cornélio Procópio (PR);45206;408
Coronel Domingos Soares (PR);5649;25
Coronel Vivida (PR);23331;164
Corumbataí do Sul (PR);3760;54
Cruzeiro do Iguaçu (PR);4133;22
Cruzeiro do Oeste (PR);23831;204
Cruzeiro do Sul (PR);4494;28
Cruz Machado (PR);15978;133
Cruzmaltina (PR);2892;36
Curitiba (PR);1773718;24998
Curiúva (PR);13647;90
Diamante do Norte (PR);5142;30
Diamante do Sul (PR);3171;43
Diamante D'Oeste (PR);4557;50
Dois Vizinhos (PR);44869;348
Douradina (PR);9161;50
Doutor Camargo (PR);6327;21
Enéas Marques (PR);5999;15
Engenheiro Beltrão (PR);12454;105
Esperança Nova (PR);1849;20
Entre Rios do Oeste (PR);4575;20
Espigão Alto do Iguaçu (PR);4797;23
Farol (PR);3039;37
Faxinal (PR);16389;167
Fazenda Rio Grande (PR);148873;1644
Fênix (PR);4492;26
Fernandes Pinheiro (PR);6255;40
Figueira (PR);8062;45
Floraí (PR);4792;57
Flor da Serra do Sul (PR);4364;36
Floresta (PR);10458;111
Florestópolis (PR);11446;78
Flórida (PR);2652;20
