municipio,RP,municipio_normalizado
Cezarina (GO),2.5151353462246,cezarina
Tocos do Moji (MG),2.47153005805136,tocos do moji
Santiago do Sul (SC),2.45463545957545,santiago do sul
Lizarda (TO),2.44926415407246,lizarda
Aceguá (RS),2.38912455517371,acegua
Santo Antônio do Itambé (MG),2.26438553690242,santo antonio do itambe
Braúnas (MG),2.22432338728051,braunas
Westfália (RS),2.20747831023029,westfalia
Itabirinha (MG),2.19180307387407,itabirinha
Coxilha (RS),2.18433334051506,coxilha
Mirante (BA),2.17143995546791,mirante
Barreira (CE),2.14164897587601,barreira
Mongaguá (SP),2.12875434838006,mongagua
São José do Xingu (MT),2.12347163384425,sao jose do xingu
Sem-Peixe (MG),2.1168036012579,sem-peixe
Murici dos Portelas (PI),2.11137714398322,murici dos portelas
Consolação (MG),2.10667949731557,consolacao
Vila Nova do Sul (RS),2.0544519345573,vila nova do sul
Timbó Grande (SC),2.03540916543334,timbo grande
Engenheiro Caldas (MG),2.02674782828209,engenheiro caldas
Santa Maria do Salto (MG),2.02417086570511,santa maria do salto
Capela do Alto (SP),2.00863737846305,capela do alto
Ibiaí (MG),2.00126560484973,ibiai
Governador Newton Bello (MA),1.9938948694947,governador newton bello
Riolândia (SP),1.98194530828583,riolandia
Cachoeira do Arari (PA),1.97157624830167,cachoeira do arari
Canavieira (PI),1.95369342143238,canavieira
Sardoá (MG),1.95192974041426,sardoa
Fundão (ES),1.93567630080828,fundao
Salvador do Sul (RS),1.926935521061,salvador do sul
Santa Margarida do Sul (RS),1.91884618549198,santa margarida do sul
Capim Grosso (BA),1.8493901312977,capim grosso
Aragoiânia (GO),1.84622374785772,aragoiania
Santo Amaro da Imperatriz (SC),1.83582189321857,santo amaro da imperatriz
Morro Cabeça no Tempo (PI),1.83248276338965,morro cabeca no tempo
Bocaina do Sul (SC),1.82549691160318,bocaina do sul
Itapiúna (CE),1.80774433528105,itapiuna
Dois Córregos (SP),1.80157031499557,dois corregos
Acarape (CE),1.79969632967367,acarape
Buri (SP),1.7969876079837,buri
São Geraldo do Araguaia (PA),1.78918265640431,sao geraldo do araguaia
Ibitinga (SP),1.78750943776679,ibitinga
Caraúbas (RN),1.78471079289334,caraubas
São Gonçalo do Gurguéia (PI),1.77625123651922,sao goncalo do gurgueia
Aurilândia (GO),1.77393940899929,aurilandia
Pindoretama (CE),1.76864280104344,pindoretama
Águia Branca (ES),1.76491958900364,aguia branca
José da Penha (RN),1.76045788239864,jose da penha
Itajubá (MG),1.74531650080055,itajuba
Galiléia (MG),1.73689195060926,galileia
Berilo (MG),1.73567116798827,berilo
Amapá (AP),1.7325903112613,amapa
Forquilhinha (SC),1.71646716144229,forquilhinha
Corguinho (MS),1.7122382437131,corguinho
Pedreiras (MA),1.70453618507185,pedreiras
Pimenta Bueno (RO),1.69922283719955,pimenta bueno
São Benedito do Rio Preto (MA),1.69189487233098,sao benedito do rio preto
Rio Branco (AC),1.69156594720119,rio branco
São Gonçalo do Sapucaí (MG),1.69147424506827,sao goncalo do sapucai
Pitangui (MG),1.68636989852569,pitangui
Altinho (PE),1.68254056547348,altinho
Uiramutã (RR),1.68232198474957,uiramuta
Tramandaí (RS),1.67501685149792,tramandai
Ilha Comprida (SP),1.67361023585946,ilha comprida
Leme (SP),1.6711932242956,leme
Murici (AL),1.66263942320153,murici
São Martinho da Serra (RS),1.65315979057771,sao martinho da serra
Jijoca de Jericoacoara (CE),1.65191219255815,jijoca de jericoacoara
Itajaí (SC),1.64347540014871,itajai
Severiano de Almeida (RS),1.6360332714823,severiano de almeida
Porto Acre (AC),1.62859957802974,porto acre
Lago Verde (MA),1.62352914441789,lago verde
Capitão Enéas (MG),1.62179769746289,capitao eneas
Senador Guiomard (AC),1.61743331865559,senador guiomard
Grossos (RN),1.6164403577905,grossos
Jacareacanga (PA),1.61539999976532,jacareacanga
Landri Sales (PI),1.60339420372205,landri sales
Paraisópolis (MG),1.60227645285982,paraisopolis
Guamaré (RN),1.6008157781548,guamare
Graccho Cardoso (SE),1.59191215937285,graccho cardoso
Reserva do Cabaçal (MT),1.59150296251927,reserva do cabacal
Plácido de Castro (AC),1.59069567840785,placido de castro
Concórdia do Pará (PA),1.58927091528565,concordia do para
Itacambira (MG),1.58850860134802,itacambira
Morpará (BA),1.58384002304241,morpara
São Sepé (RS),1.58362007636249,sao sepe
Pedro de Toledo (SP),1.57916567557021,pedro de toledo
Águas Mornas (SC),1.57764841352032,aguas mornas
Parapuã (SP),1.57207549488133,parapua
Quipapá (PE),1.56821364958883,quipapa
Peruíbe (SP),1.56624921554554,peruibe
Presidente Lucena (RS),1.56401242548388,presidente lucena
Baixa Grande (BA),1.55698254699854,baixa grande
Ribeirão Pires (SP),1.55328920789953,ribeirao pires
Sítio Novo do Tocantins (TO),1.55137739613738,sitio novo do tocantins
Itaitinga (CE),1.55015465701276,itaitinga
Monte Castelo (SC),1.54976098331876,monte castelo
Aquiraz (CE),1.54944836752728,aquiraz
Praia Grande (SP),1.54799592366905,praia grande
Wenceslau Guimarães (BA),1.54548892736855,wenceslau guimaraes
Pacatuba (CE),1.53584896834948,pacatuba
Imbituba (SC),1.53510614402204,imbituba
Porto Velho (RO),1.53461352541477,porto velho
Guapó (GO),1.53350613545074,guapo
Francisco Dantas (RN),1.53223421330397,francisco dantas
Rio Negrinho (SC),1.53112792081437,rio negrinho
Pirenópolis (GO),1.52788756590767,pirenopolis
Turmalina (SP),1.51760153675819,turmalina
Fortaleza (CE),1.51618924989346,fortaleza
Cascavel (CE),1.51280651136725,cascavel
Venha-Ver (RN),1.51266706593528,venha-ver
Palmeira das Missões (RS),1.51238539066053,palmeira das missoes
Colônia do Piauí (PI),1.50895825281754,colonia do piaui
Trabiju (SP),1.50587215508289,trabiju
Juarina (TO),1.50564836668118,juarina
Araioses (MA),1.50473075859127,araioses
Utinga (BA),1.50423771744656,utinga
Itatira (CE),1.49644447916746,itatira
Adolfo (SP),1.49415097137367,adolfo
Frutal (MG),1.49294539017318,frutal
Leopoldina (MG),1.49230669418573,leopoldina
Campo Alegre de Lourdes (BA),1.49198408371467,campo alegre de lourdes
Sananduva (RS),1.48789853617392,sananduva
Jaguaruana (CE),1.48612067588401,jaguaruana
Vermelho Novo (MG),1.48212165052085,vermelho novo
Juquitiba (SP),1.47883635372904,juquitiba
Pedro Osório (RS),1.47785000176053,pedro osorio
Nacip Raydan (MG),1.47639568237122,nacip raydan
Alto Caparaó (MG),1.47150171670861,alto caparao
Colinas (RS),1.4634864840236,colinas
Osasco (SP),1.46282278955091,osasco
Boca da Mata (AL),1.46247832176922,boca da mata
Arame (MA),1.4558475585345,arame
Cavalcante (GO),1.45370169118979,cavalcante
Bujari (AC),1.45105593712826,bujari
Extrema (MG),1.45077716533701,extrema
Bela Vista (MS),1.44927798695096,bela vista
Cujubim (RO),1.44852682508377,cujubim
Euclides da Cunha (BA),1.44662818058797,euclides da cunha
Itaparica (BA),1.44633431213292,itaparica
Macapá (AP),1.44599782625872,macapa
Tocantins (MG),1.44497357483944,tocantins
Gaspar (SC),1.44031127760947,gaspar
Irajuba (BA),1.4392132674662,irajuba
Barra Velha (SC),1.43851079946557,barra velha
Várzea do Poço (BA),1.43824639406336,varzea do poco
Morrinhos (CE),1.43603537320606,morrinhos
Beberibe (CE),1.4353955010349,beberibe
Buritis (RO),1.43269095730146,buritis
Vila Velha (ES),1.43253981304029,vila velha
Epitaciolândia (AC),1.43138539358127,epitaciolandia
